route_id,start_location,end_location,save_images,draw_detections,generate_map
001,"Toronto City Hall, Toronto, ON","Ontario Science Centre, Toronto, ON",true,true,true
002,"Union Station, Toronto, ON","CN Tower, Toronto, ON",true,true,true
003,"University of Toronto, Toronto, ON","Royal Ontario Museum, Toronto, ON",true,true,true
004,"617 Eglington Ave E, Toronto, ON","936 Eglington Ave E, Toronto, ON",true,true,true
005,"High Park, Toronto, ON","Kensington Market, Toronto, ON",true,true,true
006,"Yonge-Dundas Square, Toronto, ON","St. Lawrence Market, Toronto, ON",true,true,true
007,"Toronto Zoo, Toronto, ON","Canada's Wonderland, Vaughan, ON",true,true,true
008,"Eaton Centre, Toronto, ON","Yorkdale Shopping Centre, Toronto, ON",true,true,true
009,"Scarborough Town Centre, Toronto, ON","Pickering Town Centre, Pickering, ON",true,true,true
010,"Oshawa Centre, Oshawa, ON","Whitby, ON",true,true,true
011,"1233 Lawrence Ave W, Toronto, Ontario","1242 Lawrence Ave W, North York, ON M6L 1A3",true,true,true
012,"6615 4A Township Rd, Puslinch, ON N1H 6J3","6649 Forestell Rd, Puslinch, ON N1H 6J3",true,true,true
013,"6649 Forestell Rd, Puslinch, ON N1H 6J3","4687 10 Township Rd",true,true,true
014,"770 Vaughan Rd, Toronto, ON","712 Vaughan Rd, Toronto, ON",true,true,true
015,"702 Brealey Dr, Peterborough, ON","600 Brealey Dr, Peterborough, ON",true,true,true
016,"1840 Lansdowne St W, Peterborough, ON","1857 Lansdowne St W, Peterborough, ON",true,true,true
017,"1875 Lansdowne St W, Peterborough, ON","1890 Lansdowne St W, Peterborough, ON",true,true,true
018,"1986 County Rd 513, Peterborough, ON","2005 County Rd 513, Peterborough, ON",true,true,true
019,"1495 Lansdowne St W, Peterborough, ON","1495 Lansdowne St W, Peterborough, ON",true,true,true
020,"1477 Lansdowne St W, Peterborough, ON","1400 Lansdowne St W, Peterborough, ON",true,true,true
